"id";"title";"artist";"lyrics"
"10";"País Tropical";"Wilson Simonal";"Hahahahahahahahahaha Em homenagem à graça, à beleza, o charme e o veneno da mulher brasileira Moro Num país tropical Abençoado por Deus E bonito por natureza Em fevereiro (em fevereiro) Tem carnaval (tem carnaval) Tenho um fusca e um violão Sou Flamengo e tenho uma nega chamada Teresa Moro Num país tropical Abençoado por Deus E bonito por natureza Em fevereiro (em fevereiro) Tem carnaval (tem carnaval) Tenho um fusca e um violão Sou Flamengo e tenho uma nega chamada Teresa Sambaby, sambaby Posso não ser um band leader, pois é Mas lá em casa todos os meus amigos Meus camaradinhas, me respeitam, pois é Essa é a razão da simpatia, do poder, do algo mais e da alegria Por isso eu digo é que Moro Num país tropical Abençoado por Deus E bonito por natureza Em fevereiro (em fevereiro) Tem carnaval (tem carnaval) Tenho um fusca e um violão Sou Flamengo e tenho uma nega chamada Teresa Sou Flamengo e tenho uma nega chamada Teresa Eu sou Flamengo e não desfaço de ninguém Mas em cinco brasileiros, seis fãs o Flamengo tem Ha, ha, ha, ha! Mó Num pa tropi Abençoa por De E boni por nature, ma que bele Em fevere (em fevere) Tem carna, yeah! (tem carna) Tenho um fu e um vio Sou Flame e te uma ne chama Tere Sou Flame e te uma ne chama Tere Sou Flamengo e tenho uma nega chamada Teresa Sou Flamengo e tenho uma nega chamada Teresa Eu sou Flamengo e não desfaço de ninguém Mas em cinco brasileiros, seis fãs o Flamengo tem Ooh Sou Flamengo e tenho uma nega chamada Teresa"
"11";"Roda Viva";"Chico Buarque";"Tem dias que a gente se sente
Como quem partiu ou morreu
A gente estancou de repente
Ou foi o mundo então que cresceu
A gente quer ter voz ativa
No nosso destino mandar
Mas eis que chega a roda-viva
E carrega o destino pra lá
Roda mundo, roda-gigante
Roda-moinho, roda pião
O tempo rodou num instante
Nas voltas do meu coração
A gente vai contra a corrente
Até não poder resistir
Na volta do barco é que sente
O quanto deixou de cumprir
Faz tempo que a gente cultiva
A mais linda roseira que há
Mas eis que chega a roda-viva
E carrega a roseira pra lá
Roda mundo (etc.)
A roda da saia, a mulata
Não quer mais rodar, não senhor
Não posso fazer serenata
A roda de samba acabou
A gente toma a iniciativa
Viola na rua, a cantar
Mas eis que chega a roda-viva
E carrega a viola pra lá
Roda mundo (etc.)
O samba, a viola, a roseira
Um dia a fogueira queimou
Foi tudo ilusão passageira
Que a brisa primeira levou
No peito a saudade cativa
Faz força pro tempo parar
Mas eis que chega a roda-viva
E carrega a saudade pra lá
Roda mundo (etc.)
1967 © by Editora Musical Arlequim Ltda."
"12";"Domingo no Parque";"Gilberto Gil";"No birimbal
O rei da brincadeira (ê, José)
O rei da confusão (ê, João)
Um trabalhava na feira (ê, José)
Outro na construção (ê, João)
A semana passada, no fim da semana
João resolveu não brigar
No domingo de tarde saiu apressado
E não foi pra Ribeira jogar capoeira
Não foi pra lá, pra Ribeira, foi namorar
O José como sempre no fim da semana
Guardou a barraca e sumiu
Foi fazer no domingo um passeio no parque
Lá perto da Boca do Rio
Foi no parque que ele avistou Juliana
Foi que ele viu
Foi que ele viu Juliana na roda com João
Uma rosa e um sorvete na mão
Juliana seu sonho, uma ilusão
Juliana e o amigo João
O espinho da rosa feriu Zé
E o sorvete gelou seu coração
O sorvete e a rosa (ô, José)
A rosa e o sorvete (ô, José)
Foi dançando no peito (ô, José)
Do José brincalhão (ô, José)
O sorvete e a rosa (ô, José)
A rosa e o sorvete (ô, José)
Oi, girando na mente (ô, José)
Do José brincalhão (ô, José)
Juliana girando (oi, girando)
Oi, na roda gigante (oi, girando)
Oi, na roda gigante (oi, girando)
O amigo João (João)
O sorvete é morango (é vermelho)
Oi girando e a rosa (é vermelha)
Oi, girando, girando (é vermelha)
Oi, girando, girando...
Olha a faca! (olha a faca!)
Olha o sangue na mão (ê, José)
Juliana no chão (ê, José)
Outro corpo caído (ê, José)
Seu amigo João (ê, José)
Amanhã não tem feira (ê, José)
Não tem mais construção (ê, João)
Não tem mais brincadeira (ê, José)
Não tem mais confusão (ê, João)
eh eh eeh eeeeeh
eh eh eeh eeeeeh
eh eh eeh eeeeeh
eh eh eeh eeeeeh
eh eh eeh eeeeeh"
"13";"Ovelha Negra";"Rita Lee";"Levava uma vida sossegada Gostava de sombra E água fresca Meu Deus! Quanto tempo eu passei Sem saber! Uh! Uh!... Foi quando meu pai Me disse: ""Filha, você é a Ovelha Negra Da família"" Agora é hora de você assumir Uh! Uh! E sumir!... Baby Baby Não adianta chamar Quando alguém está perdido Procurando se encontrar Baby Baby Não vale a pena esperar Oh! Não! Tire isso da cabeça Ponha o resto no lugar Ah! Ah! Ah! Ah! Tchu! Tchu! Tchu! Tchu! Não! Oh! Oh! Ah! Tchu! Tchu! Ah! Ah!... Levava uma vida sossegada Gostava de sombra E água fresca Meu Deus! Quanto tempo eu passei Sem saber! Han!! Han!... Foi quando meu pai Me disse: ""Filha, você é a Ovelha Negra Da família"" Agora é hora de você assumir Uh! Uh! E sumir!... Baby Baby Não adianta chamar Quando alguém está perdido Procurando se encontrar Baby Baby Não vale a pena esperar Oh! Não! Tire isso da cabeça Ponha o resto no lugar Ah! Ah! Ah! Ah! Tchu! Tchu! Tchu! Tchu! Não! (Ovelha Negra da Família!) Tchu! Tchu! Tchu! Não! Vai sumir!..."
"14";"Baby";"Gal Costa";"Você precisa saber da piscina Da margarina, da Carolina, da gasolina Você precisa saber de mim Baby, baby, eu sei que é assim Baby, baby, eu sei que é assim Você precisa tomar um sorvete Na lanchonete, andar com a gente, me ver de perto Ouvir aquela canção do Roberto Baby, baby, há quanto tempo Baby, baby, há quanto tempo Você precisa aprender inglês Precisa aprender o que eu sei E o que eu não sei mais E o que eu não sei mais Não sei, comigo vai tudo azul Contigo vai tudo em paz Vivemos na melhor cidade Da América do Sul, da América do Sul Você precisa, você precisa, você precisa Não sei, leia na minha camisa Baby, baby, I love you Baby, baby, I love you Baby, baby, I love you Baby, baby, I love you Baby, baby, I love you"
"15";"Sinal Fechado";"Chico Buarque";"– Olá! Como vai?
– Eu vou indo. E você, tudo bem?
– Tudo bem! Eu vou indo, correndo pegar meu lugar no futuro... E
você?
– Tudo bem! Eu vou indo, em busca de um sono tranqüilo...
Quem sabe?
– Quanto tempo!
– Pois é, quanto tempo!
– Me perdoe a pressa - é a alma dos nossos negócios!
– Qual, não tem de quê! Eu também só ando a cem!
– Quando é que você telefona? Precisamos nos ver por aí!
– Pra semana, prometo, talvez nos vejamos...Quem sabe?
– Quanto tempo!
– Pois é...quanto tempo!
– Tanta coisa que eu tinha a dizer, mas eu sumi na poeira das
ruas...
– Eu também tenho algo a dizer, mas me foge à lembrança!
– Por favor, telefone - Eu preciso beber alguma coisa,
rapidamente...
– Pra semana...
– O sinal...
– Eu procuro você...
– Vai abrir, vai abrir...
– Eu prometo, não esqueço, não esqueço...
– Por favor, não esqueça, não esqueça...
– Adeus! Não esqueço..
– Adeus!
– Adeus!"
"16";"Tropicália";"Caetano Veloso";"Quando Pero Vaz Caminha Descobriu que as terras brasileiras Eram férteis e verdejantes Escreveu uma carta ao rei Tudo que nela se planta Tudo cresce e floresce E o Gauss da época gravou Sobre a cabeça, os aviões Sob os meus pés, os caminhões Aponta contra os chapadões Meu nariz Eu organizo o movimento Eu oriento o Carnaval Eu inauguro o monumento No Planalto Central do país Viva a Bossa, sa, sa Viva a Palhoça, ça, ça, ça, ça Viva a Bossa, sa, sa Viva a Palhoça, ça, ça, ça, ça O monumento É de papel crepom e prata Os olhos verdes da mulata A cabeleira esconde Atrás da verde mata O luar do sertão O monumento não tem porta A entrada é uma rua antiga Estreita e torta E no joelho uma criança Sorridente, feia e morta Estende a mão Viva a mata, tá, tá Viva a mulata, tá, tá, tá, tá Viva a mata, tá, tá Viva a mulata, tá, tá, tá, tá No pátio interno há uma piscina Com água azul de Amaralina Coqueiro, brisa e fala nordestina E faróis Na mão direita tem uma roseira Autenticando eterna primavera E no jardim os urubus passeiam A tarde inteira entre os girassóis Viva Maria, ia, ia Viva a Bahia, ia, ia, ia, ia Viva Maria, ia, ia Viva a Bahia, ia, ia, ia, ia No pulso esquerdo o bang-bang Em suas veias corre Muito pouco sangue Mas seu coração Balança um samba de tamborim Emite acordes dissonantes Pelos cinco mil alto-falantes Senhoras e senhores Ele põe os olhos grandes Sobre mim Viva Iracema, ma, ma Viva Ipanema, ma, ma, ma, ma Viva Iracema, ma, ma Viva Ipanema, ma, ma, ma, ma Domingo é o fino-da-bossa Segunda-feira está na fossa Terça-feira vai à roça Porém O monumento é bem moderno Não disse nada do modelo Do meu terno Que tudo mais vá pro inferno, meu bem Que tudo mais vá pro inferno, meu bem Viva a banda, da, da Carmem Miranda, da, da, da, da Viva a banda, da, da Carmem Miranda, da, da, da, da"
"17";"Gostava Tanto de Você";"Tim Maia";"Não sei porque você se foi
Quantas saudades eu senti
E de tristezas vou viver
E aquele adeus não pude dar...
Você marcou em minha vida
Viveu, morreu
Na minha história
Chego a ter medo do futuro
E da solidão
Que em minha porta bate...
E eu!
Gostava tanto de você
Gostava tanto de você...
Eu corro, fujo desta sombra
Em sonho vejo este passado
E na parede do meu quarto
Ainda está o seu retrato
Não quero ver pra não lembrar
Pensei até em me mudar
Lugar qualquer que não exista
O pensamento em você...
E eu!
Gostava tanto de você
Gostava tanto de você...
Não sei porque você se foi
Quantas saudades eu senti
E de tristezas vou viver
E aquele adeus não pude dar...
Você marcou em minha vida
Viveu, morreu
Na minha história
Chego a ter medo do futuro
E da solidão
Que em minha porta bate...
E eu!
Gostava tanto de você
Gostava tanto de você...
Eu corro, fujo desta sombra
Em sonho vejo este passado
E na parede do meu quarto
Ainda está o seu retrato
Não quero ver pra não lembrar
Pensei até em me mudar
Lugar qualquer que não exista
O pensamento em você...
E eu!
Gostava tanto de você
Gostava tanto de você..."
"18";"Tempo Perdido";"Legião Urbana";"Todos os dias quando acordo Não tenho mais o tempo que passou Mas tenho muito tempo Temos todo o tempo do mundo Todos os dias antes de dormir Lembro e esqueço como foi o dia Sempre em frente Não temos tempo a perder Nosso suor sagrado É bem mais belo que esse sangue amargo E tão sério e selvagem Selvagem, selvagem Veja o sol dessa manhã tão cinza A tempestade que chega é da cor dos teus olhos Castanhos Então me abraça forte Me diz mais uma vez que já estamos Distantes de tudo Temos nosso próprio tempo Temos nosso próprio tempo Temos nosso próprio tempo Não tenho medo do escuro Mas deixe as luzes acesas agora O que foi escondido é o que se escondeu E o que foi prometido, ninguém prometeu Nem foi tempo perdido Somos tão jovens Tão jovens, tão jovens"
"19";"Alagados";"Os Paralamas do Sucesso";"Todo dia o sol da manhã
Vem e lhes desafia
Traz do sonho pro mundo
Quem já não o queria
Palafitas, trapiches, farrapos
Filhos da mesma agonia
E a cidade que tem braços abertos
Num cartão postal
Com os punhos fechados da vida real
Lhes nega oportunidades
Mostra a face dura do mal
Alagados, Trenchtown, Favela da Maré
A esperança não vem do mar
Nem das antenas de Tv
A arte de viver dá fé
Só não se sabe fé em quê
A arte de viver dá fé
Só não se sabe fé em quê
Todo dia o sol da manhã
Vem e lhes desafia
Traz do sonho pro mundo
Quem já não o queria
Palafitas, trapiches, farrapos
Filhos da mesma agonia
E a cidade que tem braços abertos
Num cartão postal
Com os punhos fechados da vida real
Lhes nega oportunidades
Mostra a face dura do mal
Alagados, Trenchtown, Favela da Maré
A esperança não vem do mar
Nem das antenas de Tv
A arte de viver dá fé
Só não se sabe fé em quê
A arte de viver dá fé
Só não se sabe fé em quê
Alagados, Trenchtown, Favela da Maré
A esperança não vem do mar
Nem das antenas de Tv
A arte de viver dá fé
Só não se sabe fé em quê
A arte de viver dá fé
Só não se sabe fé em quê
Alagados, Trenchtown, Favela da Maré
A esperança não vem do mar
Nem das antenas de Tv
A arte de viver dá fé
Só não se sabe fé em quê
A arte de viver dá fé
Alagados, Trenchtown, Favela da Maré
A esperança não vem do mar
Nem das antenas de Tv
A arte de viver dá fé
Só não se sabe fé em quê
A arte de viver dá fé
Mas a arte de viver dá fé
Só não se sabe fé em quê
A arte de viver dá fé
Só não se sabe fé em quê
A arte de viver dá fé"
"20";"Como Nossos Pais";"Elis Regina";"Não quero lhe falar meu grande amor Das coisas que aprendi nos discos Quero lhe contar como eu vivi E tudo o que aconteceu comigo Viver é melhor que sonhar Eu sei que o amor é uma coisa boa Mas também sei Que qualquer canto é menor do que a vida De qualquer pessoa Por isso cuidado meu bem Há perigo na esquina Eles venceram e o sinal Está fechado pra nós Que somos jovens... Para abraçar seu irmão E beijar sua menina, na lua É que se fez o seu braço, O seu lábio e a sua voz... Você me pergunta pela minha paixão Digo que estou encantada como uma nova invenção Eu vou ficar nesta cidade não vou voltar pro sertão Pois vejo vir vindo no vento cheiro da nova estação Eu sei de tudo na ferida viva do meu coração... Já faz tempo eu vi você na rua Cabelo ao vento, gente jovem reunida Na parede da memória essa lembrança É o quadro que dói mais... Minha dor é perceber Que apesar de termos feito tudo o que fizemos Ainda somos os mesmos e vivemos Ainda somos os mesmos e vivemos Como os nossos pais... Nossos ídolos ainda são os mesmos E as aparências não enganam não Você diz que depois deles não apareceu mais ninguém Você pode até dizer que eu tô por fora Ou então que eu tô inventando... Mas é você que ama o passado e que não vê É você que ama o passado e que não vê Que o novo sempre vem... Hoje eu sei que quem me deu a ideia De uma nova consciência e juventude Tá em casa, guardado por Deus Contando vil metal... Minha dor é perceber que apesar de termos Feito tudo, tudo, tudo o que fizemos Nós ainda somos os mesmos e vivemos Ainda somos os mesmos e vivemos Ainda somos os mesmos e vivemos Como os nossos pais..."
"21";"Disparada";"Jair Rodrigues";"Prepare o seu coração pras coisas que eu vou contar
Eu venho lá do sertão, eu venho lá do sertão
Eu venho lá do sertão e posso não lhe agradar
Aprendi a dizer não, ver a morte sem chorar
E a morte, o destino, tudo, a morte e o destino, tudo
Estava fora de lugar, eu vivo pra consertar
Na boiada já fui boi, mas um dia me montei
Não por um motivo meu, ou de quem comigo houvesse
Que qualquer querer tivesse, porém por necessidade
Do dono de uma boiada cujo vaqueiro morreu
Boiadeiro muito tempo, laço firme e braço forte
Muito gado, muita gente, pela vida segurei
Seguia como num sonho, e boiadeiro era um Rei
Mas o mundo foi rodando nas patas do meu cavalo
E nos sonhos que fui sonhando, as visões se clareando
As visões se clareando, até que um dia acordei
Então não pude seguir, valente em lugar tenente
E dono de gado e gente, porque gado a gente marca
Tange, ferra, engorda e mata, mas com gente é diferente
Se você não concordar, não posso me desculpar
Não canto pra enganar, vou pegar minha viola
Vou deixar você de lado, vou cantar noutro lugar
Na boiada já fui boi, boiadeiro já fui Rei
Não por mim nem por ninguém, que junto comigo houvesse
Que quisesse ou que pudesse, por qualquer coisa de seu
Por qualquer coisa de seu, querer mais longe que eu
Mas o mundo foi rodando nas patas do meu cavalo
E já que um dia montei agora sou cavaleiro
Laço firme e braço forte num reino que não tem rei
Na boiada já fui boi, boiadeiro já fui Rei
Não por mim nem por ninguém, que junto comigo houvesse
Que quisesse ou que pudesse, por qualquer coisa de seu,
Por qualquer coisa de seu, querer mais longe que eu
Mas o mundo foi rodando nas patas do meu cavalo
E já que um dia montei agora sou cavaleiro
Laço firme e braço forte num reino que não tem rei.
Laiá laiá laiá laiá laiá lá laiá"
"22";"Travessia";"Milton Nascimento";"Quando você foi embora
Fez-se noite em meu viver
Forte eu sou mas não tem jeito,
Hoje eu tenho que chorar
Minha casa não é minha,
E nem é meu este lugar
Estou só e não resisto,
Muito tenho prá falar
Solto a voz nas estradas,
Já não quero parar
Meu caminho é de pedra,
Como posso sonhar
Sonho feito de brisa,
Vento vem terminar
Vou fechar o meu pranto,
Vou querer me matar
Vou seguindo pela vida
Me esquecendo de você
Eu não quero mais a morte,
Tenho muito que viver
Vou querer amar de novo
E se não der não vou sofrer
Já não sonho, hoje faço
Com meu braço o meu viver
Solto a voz nas estradas,
Já não quero parar
Meu caminho é de pedra,
Como posso sonhar
Sonho feito de brisa,
Vento vem terminar
Vou fechar o meu pranto,
Vou querer me matar
Vou seguindo pela vida
Me esquecendo de você
Eu não quero mais a morte,
Tenho muito que viver
Vou querer amar de novo
E se não der não vou sofrer
Já não sonho, hoje faço
Com meu braço o meu viver"
"23";"Metamorfose Ambulante";"Raul Seixas";"Eu prefiro ser
Essa metamorfose ambulante
Eu prefiro ser
Essa metamorfose ambulante
Do que ter aquela velha opinião formada sobre tudo
Do que ter aquela velha opinião formada sobre tudo
Eu quero dizer
Agora o oposto do que eu disse antes
Eu prefiro ser
Essa metamorfose ambulante
Do que ter aquela velha opinião formada sobre tudo
Do que ter aquela velha opinião formada sobre tudo
Sobre o que é o amor
Sobre o que eu nem sei quem sou
Se hoje eu sou estrela
Amanhã já se apagou
Se hoje eu te odeio
Amanhã lhe tenho amor
Lhe tenho amor
Lhe tenho horror
Lhe faço amor
Eu sou um ator
É chato chegar
A um objetivo num instante
Eu quero viver
Nessa metamorfose ambulante
Do que ter aquela velha opinião formada sobre tudo
Do que ter aquela velha opinião formada sobre tudo
Sobre o que é o amor
Sobre o que eu nem sei quem sou
Se hoje eu sou estrela
Amanhã já se apagou
Se hoje eu te odeio
Amanhã lhe tenho amor
Lhe tenho amor
Lhe tenho horror
Lhe faço amor
Eu sou um ator
Eu vou desdizer
Aquilo tudo que eu lhe disse antes
Eu prefiro ser
Essa metamorfose ambulante
Do que ter aquela velha opinião formada sobre tudo
Do que ter aquela velha opinião formada sobre tudo
Do que ter aquela velha opinião formada sobre tudo
Do que ter aquela velha velha velha velha velha
Opinião formada sobre tudo
Do que ter aquela velha opinião formada sobre tudo"
